ID=1, Cor=RED, Tipo=SUV, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=0, Loja=Loja A, PosicaoEsteiraLoja=0
ID=4, Cor=GREEN, Tipo=SUV, Estacao=2, Funcionario=1, PosicaoEsteiraFabrica=4, Loja=Loja A, PosicaoEsteiraLoja=1
ID=7, Cor=RED, Tipo=SUV, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=6, Loja=Loja A, PosicaoEsteiraLoja=2
ID=11, Cor=RED, Tipo=SEDAN, Estacao=2, Funcionario=2, PosicaoEsteiraFabrica=9, Loja=Loja A, PosicaoEsteiraLoja=3
ID=15, Cor=BLUE, Tipo=SUV, Estacao=1, Funcionario=2, PosicaoEsteiraFabrica=14, Loja=Loja A, PosicaoEsteiraLoja=4
ID=18, Cor=BLUE, Tipo=SEDAN, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=17, Loja=Loja A, PosicaoEsteiraLoja=5
ID=22, Cor=RED, Tipo=SEDAN, Estacao=4, Funcionario=3, PosicaoEsteiraFabrica=21, Loja=Loja A, PosicaoEsteiraLoja=6
ID=27, Cor=BLUE, Tipo=SUV, Estacao=2, Funcionario=2, PosicaoEsteiraFabrica=26, Loja=Loja A, PosicaoEsteiraLoja=7
ID=29, Cor=GREEN, Tipo=SUV, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=28, Loja=Loja A, PosicaoEsteiraLoja=8
ID=32, Cor=GREEN, Tipo=SEDAN, Estacao=1, Funcionario=2, PosicaoEsteiraFabrica=31, Loja=Loja A, PosicaoEsteiraLoja=9
ID=34, Cor=RED, Tipo=SEDAN, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=33, Loja=Loja A, PosicaoEsteiraLoja=10
ID=36, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=3, PosicaoEsteiraFabrica=35, Loja=Loja A, PosicaoEsteiraLoja=11
ID=40, Cor=RED, Tipo=SEDAN, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=39, Loja=Loja A, PosicaoEsteiraLoja=12
ID=42, Cor=BLUE, Tipo=SEDAN, Estacao=2, Funcionario=0, PosicaoEsteiraFabrica=1, Loja=Loja A, PosicaoEsteiraLoja=13
ID=47, Cor=GREEN, Tipo=SUV, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=6, Loja=Loja A, PosicaoEsteiraLoja=14
ID=49, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=2, PosicaoEsteiraFabrica=8, Loja=Loja A, PosicaoEsteiraLoja=15
ID=51, Cor=BLUE, Tipo=SUV, Estacao=2, Funcionario=1, PosicaoEsteiraFabrica=10, Loja=Loja A, PosicaoEsteiraLoja=16
ID=53, Cor=GREEN, Tipo=SUV, Estacao=3, Funcionario=3, PosicaoEsteiraFabrica=12, Loja=Loja A, PosicaoEsteiraLoja=17
ID=55, Cor=RED, Tipo=SUV, Estacao=1, Funcionario=2, PosicaoEsteiraFabrica=14, Loja=Loja A, PosicaoEsteiraLoja=18
ID=62, Cor=GREEN, Tipo=SEDAN, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=21, Loja=Loja A, PosicaoEsteiraLoja=19
ID=67, Cor=RED, Tipo=SUV, Estacao=3, Funcionario=4, PosicaoEsteiraFabrica=26, Loja=Loja A, PosicaoEsteiraLoja=0
ID=69, Cor=BLUE, Tipo=SUV, Estacao=4, Funcionario=2, PosicaoEsteiraFabrica=28, Loja=Loja A, PosicaoEsteiraLoja=1
ID=79, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=1, PosicaoEsteiraFabrica=38, Loja=Loja A, PosicaoEsteiraLoja=2
ID=81, Cor=BLUE, Tipo=SUV, Estacao=2, Funcionario=0, PosicaoEsteiraFabrica=0, Loja=Loja A, PosicaoEsteiraLoja=3
ID=86, Cor=GREEN, Tipo=SEDAN, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=5, Loja=Loja A, PosicaoEsteiraLoja=4
ID=88, Cor=RED, Tipo=SEDAN, Estacao=4, Funcionario=2, PosicaoEsteiraFabrica=7, Loja=Loja A, PosicaoEsteiraLoja=5
ID=90, Cor=BLUE, Tipo=SEDAN, Estacao=2, Funcionario=1, PosicaoEsteiraFabrica=9, Loja=Loja A, PosicaoEsteiraLoja=6
ID=92, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=1, PosicaoEsteiraFabrica=11, Loja=Loja A, PosicaoEsteiraLoja=7
ID=96, Cor=BLUE, Tipo=SUV, Estacao=4, Funcionario=1, PosicaoEsteiraFabrica=14, Loja=Loja A, PosicaoEsteiraLoja=8
ID=98, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=17, Loja=Loja A, PosicaoEsteiraLoja=9
ID=100, Cor=RED, Tipo=SEDAN, Estacao=4, Funcionario=0, PosicaoEsteiraFabrica=19, Loja=Loja A, PosicaoEsteiraLoja=10
