ID=2, Cor=GREEN, Tipo=SEDAN, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=1, Loja=Loja C, PosicaoEsteiraLoja=0
ID=3, Cor=BLUE, Tipo=SEDAN, Estacao=4, Funcionario=3, PosicaoEsteiraFabrica=5, Loja=Loja C, PosicaoEsteiraLoja=1
ID=8, Cor=GREEN, Tipo=SEDAN, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=7, Loja=Loja C, PosicaoEsteiraLoja=2
ID=10, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=2, PosicaoEsteiraFabrica=11, Loja=Loja C, PosicaoEsteiraLoja=3
ID=14, Cor=GREEN, Tipo=SEDAN, Estacao=4, Funcionario=4, PosicaoEsteiraFabrica=13, Loja=Loja C, PosicaoEsteiraLoja=4
ID=16, Cor=RED, Tipo=SEDAN, Estacao=1, Funcionario=4, PosicaoEsteiraFabrica=15, Loja=Loja C, PosicaoEsteiraLoja=5
ID=20, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=3, PosicaoEsteiraFabrica=19, Loja=Loja C, PosicaoEsteiraLoja=6
ID=23, Cor=GREEN, Tipo=SUV, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=22, Loja=Loja C, PosicaoEsteiraLoja=7
ID=25, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=4, PosicaoEsteiraFabrica=24, Loja=Loja C, PosicaoEsteiraLoja=8
ID=30, Cor=BLUE, Tipo=SEDAN, Estacao=1, Funcionario=0, PosicaoEsteiraFabrica=29, Loja=Loja C, PosicaoEsteiraLoja=9
ID=33, Cor=BLUE, Tipo=SUV, Estacao=4, Funcionario=4, PosicaoEsteiraFabrica=32, Loja=Loja C, PosicaoEsteiraLoja=10
ID=38, Cor=GREEN, Tipo=SEDAN, Estacao=1, Funcionario=4, PosicaoEsteiraFabrica=37, Loja=Loja C, PosicaoEsteiraLoja=11
ID=44, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=2, PosicaoEsteiraFabrica=3, Loja=Loja C, PosicaoEsteiraLoja=12
ID=46, Cor=RED, Tipo=SEDAN, Estacao=4, Funcionario=0, PosicaoEsteiraFabrica=5, Loja=Loja C, PosicaoEsteiraLoja=13
ID=48, Cor=BLUE, Tipo=SEDAN, Estacao=1, Funcionario=0, PosicaoEsteiraFabrica=7, Loja=Loja C, PosicaoEsteiraLoja=14
ID=50, Cor=GREEN, Tipo=SEDAN, Estacao=2, Funcionario=4, PosicaoEsteiraFabrica=9, Loja=Loja C, PosicaoEsteiraLoja=15
ID=52, Cor=RED, Tipo=SEDAN, Estacao=3, Funcionario=1, PosicaoEsteiraFabrica=11, Loja=Loja C, PosicaoEsteiraLoja=16
ID=57, Cor=BLUE, Tipo=SUV, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=16, Loja=Loja C, PosicaoEsteiraLoja=17
ID=59, Cor=GREEN, Tipo=SUV, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=18, Loja=Loja C, PosicaoEsteiraLoja=18
ID=61, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=3, PosicaoEsteiraFabrica=20, Loja=Loja C, PosicaoEsteiraLoja=19
ID=63, Cor=BLUE, Tipo=SUV, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=22, Loja=Loja C, PosicaoEsteiraLoja=0
ID=65, Cor=GREEN, Tipo=SUV, Estacao=2, Funcionario=2, PosicaoEsteiraFabrica=24, Loja=Loja C, PosicaoEsteiraLoja=1
ID=71, Cor=GREEN, Tipo=SUV, Estacao=1, Funcionario=0, PosicaoEsteiraFabrica=30, Loja=Loja C, PosicaoEsteiraLoja=2
ID=72, Cor=BLUE, Tipo=SEDAN, Estacao=1, Funcionario=2, PosicaoEsteiraFabrica=31, Loja=Loja C, PosicaoEsteiraLoja=3
ID=74, Cor=GREEN, Tipo=SEDAN, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=33, Loja=Loja C, PosicaoEsteiraLoja=4
ID=76, Cor=RED, Tipo=SEDAN, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=35, Loja=Loja C, PosicaoEsteiraLoja=5
ID=78, Cor=BLUE, Tipo=SEDAN, Estacao=1, Funcionario=4, PosicaoEsteiraFabrica=37, Loja=Loja C, PosicaoEsteiraLoja=6
ID=83, Cor=GREEN, Tipo=SUV, Estacao=3, Funcionario=2, PosicaoEsteiraFabrica=2, Loja=Loja C, PosicaoEsteiraLoja=7
ID=84, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=4, PosicaoEsteiraFabrica=3, Loja=Loja C, PosicaoEsteiraLoja=8
ID=87, Cor=BLUE, Tipo=SUV, Estacao=1, Funcionario=0, PosicaoEsteiraFabrica=6, Loja=Loja C, PosicaoEsteiraLoja=9
ID=93, Cor=BLUE, Tipo=SUV, Estacao=1, Funcionario=2, PosicaoEsteiraFabrica=12, Loja=Loja C, PosicaoEsteiraLoja=10
ID=97, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=16, Loja=Loja C, PosicaoEsteiraLoja=11
