ID=6, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=0, PosicaoEsteiraFabrica=2, Loja=Loja B, PosicaoEsteiraLoja=0
ID=1, Cor=RED, Tipo=SUV, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=0, Loja=Loja A, PosicaoEsteiraLoja=0
ID=2, Cor=GREEN, Tipo=SEDAN, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=1, Loja=Loja C, PosicaoEsteiraLoja=0
ID=4, Cor=GREEN, Tipo=SUV, Estacao=2, Funcionario=1, PosicaoEsteiraFabrica=4, Loja=Loja A, PosicaoEsteiraLoja=1
ID=5, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=3, PosicaoEsteiraFabrica=3, Loja=Loja B, PosicaoEsteiraLoja=1
ID=3, Cor=BLUE, Tipo=SEDAN, Estacao=4, Funcionario=3, PosicaoEsteiraFabrica=5, Loja=Loja C, PosicaoEsteiraLoja=1
ID=7, Cor=RED, Tipo=SUV, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=6, Loja=Loja A, PosicaoEsteiraLoja=2
ID=8, Cor=GREEN, Tipo=SEDAN, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=7, Loja=Loja C, PosicaoEsteiraLoja=2
ID=9, Cor=BLUE, Tipo=SUV, Estacao=4, Funcionario=2, PosicaoEsteiraFabrica=8, Loja=Loja B, PosicaoEsteiraLoja=2
ID=10, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=2, PosicaoEsteiraFabrica=11, Loja=Loja C, PosicaoEsteiraLoja=3
ID=12, Cor=GREEN, Tipo=SUV, Estacao=3, Funcionario=4, PosicaoEsteiraFabrica=10, Loja=Loja B, PosicaoEsteiraLoja=3
ID=11, Cor=RED, Tipo=SEDAN, Estacao=2, Funcionario=2, PosicaoEsteiraFabrica=9, Loja=Loja A, PosicaoEsteiraLoja=3
ID=13, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=0, PosicaoEsteiraFabrica=12, Loja=Loja B, PosicaoEsteiraLoja=4
ID=14, Cor=GREEN, Tipo=SEDAN, Estacao=4, Funcionario=4, PosicaoEsteiraFabrica=0, Loja=Loja C, PosicaoEsteiraLoja=4
ID=15, Cor=BLUE, Tipo=SUV, Estacao=1, Funcionario=2, PosicaoEsteiraFabrica=14, Loja=Loja A, PosicaoEsteiraLoja=4
ID=16, Cor=RED, Tipo=SEDAN, Estacao=1, Funcionario=4, PosicaoEsteiraFabrica=15, Loja=Loja C, PosicaoEsteiraLoja=5
ID=17, Cor=GREEN, Tipo=SUV, Estacao=4, Funcionario=1, PosicaoEsteiraFabrica=16, Loja=Loja B, PosicaoEsteiraLoja=5
ID=18, Cor=BLUE, Tipo=SEDAN, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=17, Loja=Loja A, PosicaoEsteiraLoja=5
ID=19, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=1, PosicaoEsteiraFabrica=18, Loja=Loja B, PosicaoEsteiraLoja=6
ID=21, Cor=BLUE, Tipo=SUV, Estacao=3, Funcionario=1, PosicaoEsteiraFabrica=20, Loja=Loja B, PosicaoEsteiraLoja=7
ID=20, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=3, PosicaoEsteiraFabrica=19, Loja=Loja C, PosicaoEsteiraLoja=6
ID=22, Cor=RED, Tipo=SEDAN, Estacao=4, Funcionario=3, PosicaoEsteiraFabrica=21, Loja=Loja A, PosicaoEsteiraLoja=6
