ID=1, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=0, PosicaoEsteiraFabrica=0, Loja=Loja A, PosicaoEsteiraLoja=0, ClienteID=3
ID=6, Cor=BLUE, Tipo=SEDAN, Estacao=1, Funcionario=0, PosicaoEsteiraFabrica=5, Loja=Loja A, PosicaoEsteiraLoja=0, ClienteID=13
ID=10, Cor=GREEN, Tipo=SUV, Estacao=3, Funcionario=4, PosicaoEsteiraFabrica=10, Loja=Loja A, PosicaoEsteiraLoja=0, ClienteID=4
ID=15, Cor=BLUE, Tipo=SUV, Estacao=2, Funcionario=4, PosicaoEsteiraFabrica=14, Loja=Loja A, PosicaoEsteiraLoja=0, ClienteID=12
ID=20, Cor=GREEN, Tipo=SEDAN, Estacao=1, Funcionario=4, PosicaoEsteiraFabrica=19, Loja=Loja A, PosicaoEsteiraLoja=0, ClienteID=5
ID=22, Cor=RED, Tipo=SEDAN, Estacao=2, Funcionario=1, PosicaoEsteiraFabrica=21, Loja=Loja A, PosicaoEsteiraLoja=0, ClienteID=2
ID=25, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=0, PosicaoEsteiraFabrica=24, Loja=Loja A, PosicaoEsteiraLoja=0, ClienteID=7
ID=27, Cor=BLUE, Tipo=SUV, Estacao=3, Funcionario=4, PosicaoEsteiraFabrica=26, Loja=Loja A, PosicaoEsteiraLoja=0, ClienteID=12
ID=31, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=2, PosicaoEsteiraFabrica=30, Loja=Loja A, PosicaoEsteiraLoja=0, ClienteID=9
ID=36, Cor=BLUE, Tipo=SEDAN, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=35, Loja=Loja A, PosicaoEsteiraLoja=0, ClienteID=3
ID=38, Cor=GREEN, Tipo=SEDAN, Estacao=2, Funcionario=4, PosicaoEsteiraFabrica=37, Loja=Loja A, PosicaoEsteiraLoja=0, ClienteID=14
ID=41, Cor=GREEN, Tipo=SUV, Estacao=4, Funcionario=3, PosicaoEsteiraFabrica=0, Loja=Loja A, PosicaoEsteiraLoja=0, ClienteID=18
ID=43, Cor=RED, Tipo=SUV, Estacao=3, Funcionario=2, PosicaoEsteiraFabrica=2, Loja=Loja A, PosicaoEsteiraLoja=0, ClienteID=16
ID=45, Cor=BLUE, Tipo=SUV, Estacao=1, Funcionario=0, PosicaoEsteiraFabrica=4, Loja=Loja A, PosicaoEsteiraLoja=13, ClienteID=2
ID=52, Cor=RED, Tipo=SEDAN, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=11, Loja=Loja A, PosicaoEsteiraLoja=0, ClienteID=5
