ID=1, Cor=RED, Tipo=SUV, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=0, Loja=Loja A, PosicaoEsteiraLoja=0
ID=5, Cor=RED, Tipo=SEDAN, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=3, Loja=Loja A, PosicaoEsteiraLoja=1
ID=3, Cor=GREEN, Tipo=SUV, Estacao=4, Funcionario=1, PosicaoEsteiraFabrica=4, Loja=Loja A, PosicaoEsteiraLoja=2
ID=10, Cor=RED, Tipo=SEDAN, Estacao=4, Funcionario=3, PosicaoEsteiraFabrica=9, Loja=Loja A, PosicaoEsteiraLoja=3
ID=13, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=0, PosicaoEsteiraFabrica=12, Loja=Loja A, PosicaoEsteiraLoja=4
ID=14, Cor=GREEN, Tipo=SEDAN, Estacao=2, Funcionario=2, PosicaoEsteiraFabrica=13, Loja=Loja A, PosicaoEsteiraLoja=5
ID=16, Cor=RED, Tipo=SEDAN, Estacao=3, Funcionario=4, PosicaoEsteiraFabrica=15, Loja=Loja A, PosicaoEsteiraLoja=6
ID=19, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=1, PosicaoEsteiraFabrica=18, Loja=Loja A, PosicaoEsteiraLoja=7
ID=20, Cor=GREEN, Tipo=SEDAN, Estacao=4, Funcionario=4, PosicaoEsteiraFabrica=19, Loja=Loja A, PosicaoEsteiraLoja=8
ID=25, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=24, Loja=Loja A, PosicaoEsteiraLoja=9
ID=27, Cor=BLUE, Tipo=SUV, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=26, Loja=Loja A, PosicaoEsteiraLoja=10
ID=30, Cor=BLUE, Tipo=SEDAN, Estacao=2, Funcionario=0, PosicaoEsteiraFabrica=29, Loja=Loja A, PosicaoEsteiraLoja=11
ID=34, Cor=RED, Tipo=SEDAN, Estacao=3, Funcionario=4, PosicaoEsteiraFabrica=0, Loja=Loja A, PosicaoEsteiraLoja=12
ID=36, Cor=BLUE, Tipo=SEDAN, Estacao=4, Funcionario=0, PosicaoEsteiraFabrica=35, Loja=Loja A, PosicaoEsteiraLoja=13
ID=38, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=1, PosicaoEsteiraFabrica=37, Loja=Loja A, PosicaoEsteiraLoja=14
ID=40, Cor=RED, Tipo=SEDAN, Estacao=1, Funcionario=4, PosicaoEsteiraFabrica=39, Loja=Loja A, PosicaoEsteiraLoja=15
ID=42, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=3, PosicaoEsteiraFabrica=1, Loja=Loja A, PosicaoEsteiraLoja=16
ID=44, Cor=GREEN, Tipo=SEDAN, Estacao=4, Funcionario=4, PosicaoEsteiraFabrica=3, Loja=Loja A, PosicaoEsteiraLoja=17
ID=48, Cor=BLUE, Tipo=SEDAN, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=7, Loja=Loja A, PosicaoEsteiraLoja=18
