ID=1, Cor=RED, Tipo=SUV, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=0, Loja=Loja A, PosicaoEsteiraLoja=0
ID=5, Cor=RED, Tipo=SEDAN, Estacao=1, Funcionario=3, PosicaoEsteiraFabrica=3, Loja=Loja A, PosicaoEsteiraLoja=1
ID=2, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=1, Loja=Loja C, PosicaoEsteiraLoja=0
ID=4, Cor=BLUE, Tipo=SUV, Estacao=3, Funcionario=3, PosicaoEsteiraFabrica=2, Loja=Loja B, PosicaoEsteiraLoja=0
ID=7, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=6, Loja=Loja B, PosicaoEsteiraLoja=1
ID=6, Cor=BLUE, Tipo=SEDAN, Estacao=4, Funcionario=4, PosicaoEsteiraFabrica=5, Loja=Loja C, PosicaoEsteiraLoja=1
ID=3, Cor=GREEN, Tipo=SUV, Estacao=4, Funcionario=1, PosicaoEsteiraFabrica=4, Loja=Loja A, PosicaoEsteiraLoja=2
ID=8, Cor=GREEN, Tipo=SEDAN, Estacao=2, Funcionario=1, PosicaoEsteiraFabrica=7, Loja=Loja B, PosicaoEsteiraLoja=2
ID=10, Cor=RED, Tipo=SEDAN, Estacao=4, Funcionario=3, PosicaoEsteiraFabrica=9, Loja=Loja A, PosicaoEsteiraLoja=3
ID=9, Cor=BLUE, Tipo=SUV, Estacao=2, Funcionario=0, PosicaoEsteiraFabrica=8, Loja=Loja C, PosicaoEsteiraLoja=2
ID=13, Cor=RED, Tipo=SUV, Estacao=4, Funcionario=0, PosicaoEsteiraFabrica=12, Loja=Loja A, PosicaoEsteiraLoja=4
ID=11, Cor=GREEN, Tipo=SUV, Estacao=1, Funcionario=0, PosicaoEsteiraFabrica=10, Loja=Loja B, PosicaoEsteiraLoja=3
ID=14, Cor=GREEN, Tipo=SEDAN, Estacao=2, Funcionario=2, PosicaoEsteiraFabrica=13, Loja=Loja A, PosicaoEsteiraLoja=5
ID=12, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=2, PosicaoEsteiraFabrica=11, Loja=Loja C, PosicaoEsteiraLoja=3
ID=15, Cor=BLUE, Tipo=SUV, Estacao=1, Funcionario=2, PosicaoEsteiraFabrica=14, Loja=Loja C, PosicaoEsteiraLoja=4
ID=16, Cor=RED, Tipo=SEDAN, Estacao=3, Funcionario=4, PosicaoEsteiraFabrica=15, Loja=Loja A, PosicaoEsteiraLoja=6
ID=17, Cor=GREEN, Tipo=SUV, Estacao=2, Funcionario=4, PosicaoEsteiraFabrica=16, Loja=Loja B, PosicaoEsteiraLoja=4
ID=18, Cor=BLUE, Tipo=SEDAN, Estacao=4, Funcionario=2, PosicaoEsteiraFabrica=0, Loja=Loja C, PosicaoEsteiraLoja=5
ID=19, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=1, PosicaoEsteiraFabrica=18, Loja=Loja A, PosicaoEsteiraLoja=7
ID=20, Cor=GREEN, Tipo=SEDAN, Estacao=4, Funcionario=4, PosicaoEsteiraFabrica=19, Loja=Loja A, PosicaoEsteiraLoja=8
ID=21, Cor=BLUE, Tipo=SUV, Estacao=3, Funcionario=1, PosicaoEsteiraFabrica=20, Loja=Loja C, PosicaoEsteiraLoja=6
ID=22, Cor=RED, Tipo=SEDAN, Estacao=1, Funcionario=4, PosicaoEsteiraFabrica=21, Loja=Loja B, PosicaoEsteiraLoja=5
ID=23, Cor=GREEN, Tipo=SUV, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=22, Loja=Loja C, PosicaoEsteiraLoja=7
ID=24, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=3, PosicaoEsteiraFabrica=23, Loja=Loja C, PosicaoEsteiraLoja=8
ID=25, Cor=RED, Tipo=SUV, Estacao=2, Funcionario=3, PosicaoEsteiraFabrica=24, Loja=Loja A, PosicaoEsteiraLoja=9
ID=26, Cor=GREEN, Tipo=SEDAN, Estacao=4, Funcionario=1, PosicaoEsteiraFabrica=25, Loja=Loja B, PosicaoEsteiraLoja=6
ID=28, Cor=RED, Tipo=SEDAN, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=27, Loja=Loja C, PosicaoEsteiraLoja=9
