ID=2, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=1, Loja=Loja C, PosicaoEsteiraLoja=0, ClienteID=1
ID=6, Cor=BLUE, Tipo=SEDAN, Estacao=4, Funcionario=4, PosicaoEsteiraFabrica=5, Loja=Loja C, PosicaoEsteiraLoja=1, ClienteID=7
ID=9, Cor=BLUE, Tipo=SUV, Estacao=2, Funcionario=0, PosicaoEsteiraFabrica=8, Loja=Loja C, PosicaoEsteiraLoja=2, ClienteID=4
ID=12, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=2, PosicaoEsteiraFabrica=11, Loja=Loja C, PosicaoEsteiraLoja=3, ClienteID=2
ID=15, Cor=BLUE, Tipo=SUV, Estacao=1, Funcionario=2, PosicaoEsteiraFabrica=14, Loja=Loja C, PosicaoEsteiraLoja=4, ClienteID=10
ID=18, Cor=BLUE, Tipo=SEDAN, Estacao=4, Funcionario=2, PosicaoEsteiraFabrica=17, Loja=Loja C, PosicaoEsteiraLoja=5, ClienteID=18
ID=21, Cor=BLUE, Tipo=SUV, Estacao=3, Funcionario=1, PosicaoEsteiraFabrica=20, Loja=Loja C, PosicaoEsteiraLoja=6, ClienteID=2
ID=23, Cor=GREEN, Tipo=SUV, Estacao=1, Funcionario=1, PosicaoEsteiraFabrica=22, Loja=Loja C, PosicaoEsteiraLoja=7, ClienteID=1
ID=24, Cor=BLUE, Tipo=SEDAN, Estacao=3, Funcionario=3, PosicaoEsteiraFabrica=23, Loja=Loja C, PosicaoEsteiraLoja=8, ClienteID=8
ID=28, Cor=RED, Tipo=SEDAN, Estacao=3, Funcionario=0, PosicaoEsteiraFabrica=27, Loja=Loja C, PosicaoEsteiraLoja=9, ClienteID=16
ID=32, Cor=GREEN, Tipo=SEDAN, Estacao=3, Funcionario=2, PosicaoEsteiraFabrica=31, Loja=Loja C, PosicaoEsteiraLoja=10, ClienteID=10
ID=33, Cor=BLUE, Tipo=SUV, Estacao=2, Funcionario=2, PosicaoEsteiraFabrica=32, Loja=Loja C, PosicaoEsteiraLoja=11, ClienteID=13
